review_id,sample_id,source,split,session_id,frame_id,frame_index,object_name,tracklet_id,canonical_label,resolved_label,current_weak_label,model_prediction,model_probability,rule_proxy_fields,reason_for_review,risk_tags,image_or_artifact_reference,recommended_review_question,human_admit_label,human_label_confidence,human_notes,reviewer_priority,evidence_status,review_hint
p194_review_0001,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,barrier_004,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_004,barrier,barrier,0,0,0.498131,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.2968156933784485, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""barrier"", ""resolved_label"": ""barrier"", ""cluster_id"": ""cluster_0003""}",near_decision_threshold;category_proxy_sensitive;infrastructure_rejected_boundary_case,near_threshold;proxy_sensitive;infra_reject_boundary,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/frontend_output/barrier_004_overlay.png,"Should this barrier observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,4,existing,"Priority basis: near_threshold,proxy_sensitive,infrastructure_boundary. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0002,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_005,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,work_table_005,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_005,work table,work table,1,1,0.998886,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.4210321605205536, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""work table"", ""resolved_label"": ""work table"", ""cluster_id"": ""cluster_0005""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/frontend_output/work_table_005_overlay.png,"Should this work table observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,8,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0003,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,barrier_004,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_004,barrier,barrier,1,1,0.999635,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.30161622166633606, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""barrier"", ""resolved_label"": ""barrier"", ""cluster_id"": ""cluster_0002""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/frontend_output/barrier_004_overlay.png,"Should this barrier observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,9,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0004,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_006,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,work_table_006,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_006,work table,work table,1,1,0.999928,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.27730780839920044, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""work table"", ""resolved_label"": ""work table"", ""cluster_id"": ""cluster_0005""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/frontend_output/work_table_006_overlay.png,"Should this work table observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,10,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0005,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,warehouse_rack_004,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_004,warehouse rack,warehouse rack,1,1,0.985653,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.36279284954071045, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0006""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/frontend_output/warehouse_rack_004_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,13,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0006,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_007,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,work_table_007,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_007,work table,work table,1,1,0.999837,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.33281874656677246, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""work table"", ""resolved_label"": ""work table"", ""cluster_id"": ""cluster_0005""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/frontend_output/work_table_007_overlay.png,"Should this work table observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,14,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0007,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_004,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,warehouse_rack_004,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_004,warehouse rack,warehouse rack,1,1,0.990919,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.31501808762550354, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0006""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/frontend_output/warehouse_rack_004_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,15,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0008,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_009,cross_day,train,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,warehouse_rack_009,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_009,warehouse rack,warehouse rack,1,1,0.99862,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.2998415231704712, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0008""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/frontend_output/warehouse_rack_009_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,16,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0009,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_002,cross_month,val,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007,7,barrier_002,trk_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_002,barrier,barrier,1,1,0.999797,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.25387507677078247, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""barrier"", ""resolved_label"": ""barrier"", ""cluster_id"": ""cluster_0014""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW/frontend_output/barrier_002_overlay.png,"Should this barrier observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,11,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0010,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_003,cross_month,val,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007,7,forklift_003,trk_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_003,forklift,forklift,0,0,0.000112,"{""dynamic_ratio"": 1.0, ""label_purity"": 0.25415515899658203, ""is_forklift_like"": 1, ""is_infrastructure_like"": 0, ""canonical_label"": ""forklift"", ""resolved_label"": ""forklift"", ""cluster_id"": ""cluster_0011""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW/frontend_output/forklift_003_overlay.png,"Should this forklift observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,12,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
