sample_id,source,split,cluster_id,target_admit,canonical_label,resolved_label,observation_id,session_id,frame_id,frame_index,tracklet_id,physical_key,join_distance,dedup_status,label_source,session_count,frame_count,support_count,dynamic_ratio,label_purity,mean_center_x,mean_center_y,mean_size_x,mean_size_y,is_forklift_like,is_infrastructure_like,cluster_session_count,cluster_frame_count,cluster_support_count,cluster_dynamic_ratio,cluster_label_purity,semantic_gate_score,mask_area_px,bbox_width,bbox_height,observation_index_path
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_001,cross_day,train,cluster_0001,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_001,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_001,2022-06-15__Aisle_CW_Run_1::000007::barrier_001,0.077125,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,16364.0,0.0,0.3859576880931854,278.5882424835004,463.22115619652897,155.0,116.0,0,1,4.0,32.0,32.0,0.0,1.0,0.3859576880931854,16364.0,155.0,116.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_002,cross_day,train,cluster_0004,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_002,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_002,2022-06-15__Aisle_CW_Run_1::000007::forklift_002,0.396611,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,2819.0,1.0,0.5798607468605042,46.11564384533523,267.3100390209294,82.0,144.0,1,0,4.0,61.0,59.0,0.9152542372881356,0.9152542372881356,0.5798607468605042,2819.0,82.0,144.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_003,cross_day,train,cluster_0002,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_003,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_003,2022-06-15__Aisle_CW_Run_1::000007::barrier_003,0.159743,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,39998.0,0.0,0.3319544196128845,1187.9721486074304,550.1512825641282,190.0,230.0,0,1,4.0,32.0,32.0,0.0,1.0,0.3319544196128845,39998.0,190.0,230.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,cross_day,train,cluster_0003,0,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_004,2022-06-15__Aisle_CW_Run_1::000007::barrier_004,0.002195,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,14564.0,0.0,0.2968156933784485,1179.2982697061248,346.87166987091456,204.0,83.0,0,1,1.0,8.0,8.0,0.0,1.0,0.2968156933784485,14564.0,204.0,83.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_005,cross_day,train,cluster_0005,1,work table,work table,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_005,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_005,2022-06-15__Aisle_CW_Run_1::000007::work_table_005,0.167821,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,1449.0,0.0,0.4210321605205536,279.64941338854385,338.95307108350585,63.0,27.0,0,1,4.0,51.0,51.0,0.0,0.9411764705882353,0.4210321605205536,1449.0,63.0,27.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_006,cross_day,train,cluster_0006,1,warehouse rack,warehouse rack,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_006,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_006,2022-06-15__Aisle_CW_Run_1::000007::warehouse_rack_006,1.256948,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,161935.0,0.0,0.2678959369659424,654.3368203291444,322.602908574428,898.0,366.0,0,1,4.0,29.0,29.0,0.0,0.8275862068965517,0.2678959369659424,161935.0,898.0,366.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_007,cross_day,train,cluster_0005,1,work table,work table,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_007,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_007,2022-06-15__Aisle_CW_Run_1::000007::work_table_007,0.271605,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,674.0,0.0,0.2602120339870453,261.7952522255193,337.35459940652817,39.0,26.0,0,1,4.0,51.0,51.0,0.0,0.9411764705882353,0.2602120339870453,674.0,39.0,26.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_001,cross_day,train,cluster_0001,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_001,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_001,2022-06-15__Aisle_CW_Run_2::000007::barrier_001,0.216412,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,12954.0,0.0,0.4345448613166809,356.33279295970357,451.790952601513,135.0,105.0,0,1,4.0,32.0,32.0,0.0,1.0,0.4345448613166809,12954.0,135.0,105.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_002,cross_day,train,cluster_0004,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_002,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_002,2022-06-15__Aisle_CW_Run_2::000007::forklift_002,0.341556,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,1988.0,1.0,0.39922061562538147,95.9854124748491,251.0211267605634,133.0,117.0,1,0,4.0,61.0,59.0,0.9152542372881356,0.9152542372881356,0.39922061562538147,1988.0,133.0,117.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_003,cross_day,train,cluster_0004,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_003,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_003,2022-06-15__Aisle_CW_Run_2::000007::forklift_003,0.253932,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,7239.0,1.0,0.277429461479187,112.72841552700649,299.40931067827046,101.0,143.0,1,0,4.0,61.0,59.0,0.9152542372881356,0.9152542372881356,0.277429461479187,7239.0,101.0,143.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/observation_output/observations_index.json
