pair_id,source,split_pair,canonical_label,sample_id_a,sample_id_b,session_id_a,session_id_b,frame_id_a,frame_id_b,weak_label_a,weak_label_b,model_probability_a,model_probability_b,centroid_distance,size_distance,same_weak_label,pair_reason,artifact_reference_a,artifact_reference_b,human_same_object_label,human_pair_notes
p194_pair_00079,hallway,test|test,forklift,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_005,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_005,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,0,0,0.0,0.0,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/forklift_005_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/forklift_005_overlay.png,,
p194_pair_00144,hallway,test|test,forklift,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_004,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_004,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,0,0,0.0,0.0,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/forklift_004_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/forklift_004_overlay.png,,
p194_pair_00187,hallway,test|test,work table,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_003,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_003,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,1,1,0.999998,0.999998,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/work_table_003_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/work_table_003_overlay.png,,
p194_pair_00247,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_006,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,0,0,0.993245,0.993245,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/warehouse_rack_006_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/warehouse_rack_006_overlay.png,,
p194_pair_00264,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_008,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_008,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,1,1,0.999988,0.999988,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/warehouse_rack_008_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/warehouse_rack_008_overlay.png,,
p194_pair_00276,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_007,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,1,1,0.998808,0.998808,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/warehouse_rack_007_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/warehouse_rack_007_overlay.png,,
p194_pair_00348,hallway,test|test,barrier,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_002,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_002,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,1,1,0.999937,0.999937,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/barrier_002_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/barrier_002_overlay.png,,
p194_pair_00415,hallway,test|test,barrier,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_001,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_001,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,1,1,1.0,1.0,0.0,0.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/barrier_001_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/barrier_001_overlay.png,,
p194_pair_00506,cross_day,train|train,warehouse rack,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_004,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,1,1,0.985653,0.990919,3.718606,13.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/frontend_output/warehouse_rack_004_overlay.png,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/frontend_output/warehouse_rack_004_overlay.png,,
p194_pair_00146,hallway,test|test,forklift,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_004,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,0,0,0.0,0.0,9.414753,3.605551,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/forklift_004_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/forklift_007_overlay.png,,
p194_pair_00153,hallway,test|test,forklift,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_004,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,0,0,0.0,0.0,9.414753,3.605551,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/forklift_004_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/forklift_007_overlay.png,,
p194_pair_00349,hallway,test|test,barrier,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_002,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_002,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007,1,1,0.999937,0.999996,5.058487,13.601471,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/barrier_002_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW/frontend_output/barrier_002_overlay.png,,
p194_pair_00359,hallway,test|test,barrier,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_002,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_002,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007,1,1,0.999937,0.999996,5.058487,13.601471,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/barrier_002_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW/frontend_output/barrier_002_overlay.png,,
p194_pair_00498,cross_day,train|train,warehouse rack,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_008,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_008,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,1,1,0.999999,0.999998,8.282583,10.29563,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/frontend_output/warehouse_rack_008_overlay.png,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/frontend_output/warehouse_rack_008_overlay.png,,
p194_pair_00239,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,0,0,0.994751,0.993245,8.614677,9.848858,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/warehouse_rack_006_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/warehouse_rack_006_overlay.png,,
p194_pair_00240,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_006,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,0,0,0.994751,0.993245,8.614677,9.848858,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/warehouse_rack_006_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/warehouse_rack_006_overlay.png,,
p194_pair_00448,cross_day,train|train,forklift,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_006,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_005,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,0,0,0.0,0.0,13.545764,3.162278,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/frontend_output/forklift_006_overlay.png,/home/rui/slam/outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/frontend_output/forklift_005_overlay.png,,
p194_pair_00258,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_004,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_008,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,1,1,0.999983,0.999988,13.501927,5.09902,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/warehouse_rack_004_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/warehouse_rack_008_overlay.png,,
p194_pair_00259,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_004,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_008,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,1,1,0.999983,0.999988,13.501927,5.09902,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/warehouse_rack_004_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/warehouse_rack_008_overlay.png,,
p194_pair_00271,hallway,test|test,warehouse rack,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_006,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007_006,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007,1,1,0.999977,0.999995,14.039102,5.09902,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW/frontend_output/warehouse_rack_006_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW/frontend_output/warehouse_rack_006_overlay.png,,
p194_pair_00189,hallway,test|test,work table,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_003,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_002,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,1,1,0.999998,0.999997,12.150466,13.038405,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/work_table_003_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/work_table_002_overlay.png,,
p194_pair_00198,hallway,test|test,work table,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_003,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_002,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,1,1,0.999998,0.999997,12.150466,13.038405,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/work_table_003_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/work_table_002_overlay.png,,
p194_pair_00395,hallway,test|test,barrier,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007_002,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_001,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007,1,1,0.999997,0.999971,25.267638,1.0,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW/frontend_output/barrier_002_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW/frontend_output/barrier_001_overlay.png,,
p194_pair_00324,hallway,test|test,barrier,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007_001,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_001,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW_000007,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007,1,1,1.0,1.0,16.36167,28.017851,1,same_label_cross_session_human_association_candidate,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CW/frontend_output/barrier_001_overlay.png,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW/frontend_output/barrier_001_overlay.png,,
