sample_id,frame_id,view_id,split,image_path,binary_mask_path,source_image_member,indexed_mask_member,raw_labels_member,source,target_policy,width,height,total_pixels,dynamic_positive_pixels,dynamic_positive_pixel_rate,dynamic_positive_categories,static_negative_categories,context_negative_categories,unknown_categories,category_pixel_stats_json,category_indices_json
000000900_image-0,000000900,image_0,test,outputs/dynamic_mask_dataset_p217/images/000000900_image-0.png,outputs/dynamic_mask_dataset_p217/binary_masks/000000900_image-0_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_0.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_0.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_0.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,848,480,407040,68170,0.16747740,cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone,misc_static_feature|rack_shelf,ceiling|driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":14882,""ceiling"":16086,""driveable_ground"":156959,""ego_vehicle"":0,""fixed_machinery"":0,""fork_truck"":223,""goods_material"":14716,""misc_dynamic_feature"":728,""misc_non_static_feature"":7147,""misc_static_feature"":16563,""person"":29600,""pylon_cone"":874,""rack_shelf"":1632,""text_region"":0,""wall_fence_pillar"":147630}","{""cart_pallet_jack"":[9],""ceiling"":[2],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[],""fork_truck"":[19],""goods_material"":[7],""misc_dynamic_feature"":[16],""misc_non_static_feature"":[11,20,21,22,23,24],""misc_static_feature"":[5],""person"":[12,13],""pylon_cone"":[17],""rack_shelf"":[6],""text_region"":[],""wall_fence_pillar"":[4]}"
000000900_image-1,000000900,image_1,test,outputs/dynamic_mask_dataset_p217/images/000000900_image-1.png,outputs/dynamic_mask_dataset_p217/binary_masks/000000900_image-1_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_1.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_1.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_1.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,1280,720,921600,61678,0.06692491,cart_pallet_jack|misc_dynamic_feature|misc_non_static_feature,misc_static_feature,driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":21117,""ceiling"":0,""driveable_ground"":301091,""ego_vehicle"":0,""fixed_machinery"":0,""fork_truck"":0,""goods_material"":0,""misc_dynamic_feature"":24335,""misc_non_static_feature"":16226,""misc_static_feature"":206769,""person"":0,""pylon_cone"":0,""rack_shelf"":0,""text_region"":0,""wall_fence_pillar"":352062}","{""cart_pallet_jack"":[10],""ceiling"":[],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[],""fork_truck"":[],""goods_material"":[],""misc_dynamic_feature"":[9],""misc_non_static_feature"":[11,12,13],""misc_static_feature"":[5],""person"":[],""pylon_cone"":[],""rack_shelf"":[],""text_region"":[],""wall_fence_pillar"":[4]}"
000000900_image-2,000000900,image_2,test,outputs/dynamic_mask_dataset_p217/images/000000900_image-2.png,outputs/dynamic_mask_dataset_p217/binary_masks/000000900_image-2_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_2.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_2.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000900/image_2.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,848,480,407040,60790,0.14934650,goods_material|misc_dynamic_feature,misc_static_feature,driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":0,""ceiling"":0,""driveable_ground"":128002,""ego_vehicle"":0,""fixed_machinery"":0,""fork_truck"":0,""goods_material"":18318,""misc_dynamic_feature"":42472,""misc_non_static_feature"":0,""misc_static_feature"":17322,""person"":0,""pylon_cone"":0,""rack_shelf"":0,""text_region"":0,""wall_fence_pillar"":200925}","{""cart_pallet_jack"":[],""ceiling"":[],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[],""fork_truck"":[],""goods_material"":[7],""misc_dynamic_feature"":[9],""misc_non_static_feature"":[],""misc_static_feature"":[5],""person"":[],""pylon_cone"":[],""rack_shelf"":[],""text_region"":[],""wall_fence_pillar"":[4]}"
000000908_image-0,000000908,image_0,test,outputs/dynamic_mask_dataset_p217/images/000000908_image-0.png,outputs/dynamic_mask_dataset_p217/binary_masks/000000908_image-0_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_0.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_0.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_0.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,848,480,407040,17104,0.04202044,goods_material,misc_static_feature,driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":0,""ceiling"":0,""driveable_ground"":180895,""ego_vehicle"":0,""fixed_machinery"":0,""fork_truck"":0,""goods_material"":17104,""misc_dynamic_feature"":0,""misc_non_static_feature"":0,""misc_static_feature"":19659,""person"":0,""pylon_cone"":0,""rack_shelf"":0,""text_region"":0,""wall_fence_pillar"":189381}","{""cart_pallet_jack"":[],""ceiling"":[],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[],""fork_truck"":[],""goods_material"":[7],""misc_dynamic_feature"":[],""misc_non_static_feature"":[],""misc_static_feature"":[5],""person"":[],""pylon_cone"":[],""rack_shelf"":[],""text_region"":[],""wall_fence_pillar"":[4]}"
000000908_image-1,000000908,image_1,test,outputs/dynamic_mask_dataset_p217/images/000000908_image-1.png,outputs/dynamic_mask_dataset_p217/binary_masks/000000908_image-1_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_1.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_1.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_1.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,1280,720,921600,260812,0.28299913,cart_pallet_jack|goods_material|misc_non_static_feature,misc_static_feature|rack_shelf,driveable_ground|ego_vehicle|wall_fence_pillar,,"{""cart_pallet_jack"":2672,""ceiling"":0,""driveable_ground"":351611,""ego_vehicle"":307,""fixed_machinery"":0,""fork_truck"":0,""goods_material"":116293,""misc_dynamic_feature"":0,""misc_non_static_feature"":141847,""misc_static_feature"":7345,""person"":0,""pylon_cone"":0,""rack_shelf"":3332,""text_region"":0,""wall_fence_pillar"":298193}","{""cart_pallet_jack"":[9],""ceiling"":[],""driveable_ground"":[1],""ego_vehicle"":[3],""fixed_machinery"":[],""fork_truck"":[],""goods_material"":[7],""misc_dynamic_feature"":[],""misc_non_static_feature"":[10,13,23,24,25],""misc_static_feature"":[5],""person"":[],""pylon_cone"":[],""rack_shelf"":[6],""text_region"":[],""wall_fence_pillar"":[4]}"
000000908_image-2,000000908,image_2,test,outputs/dynamic_mask_dataset_p217/images/000000908_image-2.png,outputs/dynamic_mask_dataset_p217/binary_masks/000000908_image-2_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_2.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_2.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000000908/image_2.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,848,480,407040,34268,0.08418829,fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone,misc_static_feature|rack_shelf,ceiling|driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":0,""ceiling"":64642,""driveable_ground"":168022,""ego_vehicle"":0,""fixed_machinery"":0,""fork_truck"":4828,""goods_material"":16877,""misc_dynamic_feature"":6240,""misc_non_static_feature"":4175,""misc_static_feature"":16720,""person"":1713,""pylon_cone"":435,""rack_shelf"":3283,""text_region"":0,""wall_fence_pillar"":120105}","{""cart_pallet_jack"":[],""ceiling"":[2],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[],""fork_truck"":[17,41,49],""goods_material"":[7],""misc_dynamic_feature"":[9,10,11,12,13,15,16,48],""misc_non_static_feature"":[22,23,32,33,35,38,43,44,45,46,47,51,52,53],""misc_static_feature"":[5],""person"":[19,42],""pylon_cone"":[34],""rack_shelf"":[6],""text_region"":[],""wall_fence_pillar"":[4]}"
000001685_image-0,000001685,image_0,test,outputs/dynamic_mask_dataset_p217/images/000001685_image-0.png,outputs/dynamic_mask_dataset_p217/binary_masks/000001685_image-0_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_0.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_0.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_0.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,848,480,407040,85361,0.20971158,goods_material|misc_dynamic_feature|misc_non_static_feature,fixed_machinery|misc_static_feature|rack_shelf,ceiling|driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":0,""ceiling"":57408,""driveable_ground"":173701,""ego_vehicle"":0,""fixed_machinery"":2774,""fork_truck"":0,""goods_material"":73542,""misc_dynamic_feature"":8556,""misc_non_static_feature"":3263,""misc_static_feature"":22095,""person"":0,""pylon_cone"":0,""rack_shelf"":1548,""text_region"":0,""wall_fence_pillar"":64152}","{""cart_pallet_jack"":[],""ceiling"":[2],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[8],""fork_truck"":[],""goods_material"":[7],""misc_dynamic_feature"":[9,11,21,22],""misc_non_static_feature"":[18,19,20],""misc_static_feature"":[5],""person"":[],""pylon_cone"":[],""rack_shelf"":[6],""text_region"":[],""wall_fence_pillar"":[4]}"
000001685_image-1,000001685,image_1,test,outputs/dynamic_mask_dataset_p217/images/000001685_image-1.png,outputs/dynamic_mask_dataset_p217/binary_masks/000001685_image-1_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_1.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_1.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_1.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,1280,720,921600,438056,0.47532118,cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone,misc_static_feature|rack_shelf,ceiling|driveable_ground|ego_vehicle|wall_fence_pillar,,"{""cart_pallet_jack"":5606,""ceiling"":9960,""driveable_ground"":296389,""ego_vehicle"":3982,""fixed_machinery"":0,""fork_truck"":11493,""goods_material"":313546,""misc_dynamic_feature"":1634,""misc_non_static_feature"":2928,""misc_static_feature"":20266,""person"":102073,""pylon_cone"":776,""rack_shelf"":23515,""text_region"":0,""wall_fence_pillar"":129432}","{""cart_pallet_jack"":[20],""ceiling"":[2],""driveable_ground"":[1],""ego_vehicle"":[3],""fixed_machinery"":[],""fork_truck"":[28],""goods_material"":[7],""misc_dynamic_feature"":[29],""misc_non_static_feature"":[22,24,25,27],""misc_static_feature"":[5],""person"":[13],""pylon_cone"":[11,12],""rack_shelf"":[6],""text_region"":[],""wall_fence_pillar"":[4]}"
000001685_image-2,000001685,image_2,test,outputs/dynamic_mask_dataset_p217/images/000001685_image-2.png,outputs/dynamic_mask_dataset_p217/binary_masks/000001685_image-2_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_2.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_2.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001685/image_2.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,848,480,407040,250206,0.61469634,cart_pallet_jack|goods_material|misc_dynamic_feature|misc_non_static_feature,misc_static_feature,driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":14704,""ceiling"":0,""driveable_ground"":53734,""ego_vehicle"":0,""fixed_machinery"":0,""fork_truck"":0,""goods_material"":228568,""misc_dynamic_feature"":1712,""misc_non_static_feature"":5222,""misc_static_feature"":16218,""person"":0,""pylon_cone"":0,""rack_shelf"":0,""text_region"":0,""wall_fence_pillar"":86882}","{""cart_pallet_jack"":[10],""ceiling"":[],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[],""fork_truck"":[],""goods_material"":[7],""misc_dynamic_feature"":[11],""misc_non_static_feature"":[9,12],""misc_static_feature"":[5],""person"":[],""pylon_cone"":[],""rack_shelf"":[],""text_region"":[],""wall_fence_pillar"":[4]}"
000001752_image-0,000001752,image_0,test,outputs/dynamic_mask_dataset_p217/images/000001752_image-0.png,outputs/dynamic_mask_dataset_p217/binary_masks/000001752_image-0_dynamic.png,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001752/image_0.png_raw_labels_2d/source_image.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001752/image_0.png_raw_labels_2d/combined_indexedImage.png","data/TorWIC_SLAM_Dataset/Oct. 12, 2022/AnnotatedSemanticSet_Finetuning.zip::Labelled_Test_Data/000001752/image_0.png_raw_labels_2d/raw_labels_2d.json",TorWIC AnnotatedSemanticSet_Finetuning dataset-provided raw_labels_2d + combined_indexedImage,binary_dynamic_non_static_from_dataset_semantic_indices; positives=cart_pallet_jack|fork_truck|goods_material|misc_dynamic_feature|misc_non_static_feature|person|pylon_cone; all other indexed/background pixels=0; no admission labels,848,480,407040,176855,0.43449047,goods_material|misc_non_static_feature,misc_static_feature,driveable_ground|wall_fence_pillar,,"{""cart_pallet_jack"":0,""ceiling"":0,""driveable_ground"":124396,""ego_vehicle"":0,""fixed_machinery"":0,""fork_truck"":0,""goods_material"":82582,""misc_dynamic_feature"":0,""misc_non_static_feature"":94273,""misc_static_feature"":2314,""person"":0,""pylon_cone"":0,""rack_shelf"":0,""text_region"":0,""wall_fence_pillar"":103156}","{""cart_pallet_jack"":[],""ceiling"":[],""driveable_ground"":[1],""ego_vehicle"":[],""fixed_machinery"":[],""fork_truck"":[],""goods_material"":[7],""misc_dynamic_feature"":[],""misc_non_static_feature"":[10,11],""misc_static_feature"":[5],""person"":[],""pylon_cone"":[],""rack_shelf"":[],""text_region"":[],""wall_fence_pillar"":[4]}"
