frame_index,timestamp,raw_total_keypoints,masked_total_keypoints,raw_predicted_mask_region_keypoints,masked_predicted_mask_region_keypoints,predicted_mask_region_pixels,predicted_mask_region_keypoint_delta_masked_minus_raw,total_keypoint_delta_masked_minus_raw
0,47.998768091,1000,1000,14,397,77440,383,0
1,48.098175764,1000,1000,8,380,102928,372,0
2,48.197431803,1000,1000,10,358,102848,348,0
3,48.296702862,1000,1000,20,361,144928,341,0
4,48.396187782,1000,1000,20,366,137968,346,0
5,48.495908022,1000,1000,60,437,171776,377,0
6,48.595888615,1000,1000,36,424,178272,388,0
7,48.695979357,1000,1000,92,369,273792,277,0
8,48.796189785,1000,1000,98,362,256656,264,0
9,48.896388292,1000,1000,212,259,284096,47,0
10,48.996518612,1000,1000,219,254,259696,35,0
11,49.096705198,1000,1000,206,262,277280,56,0
12,49.197072029,1000,1000,218,272,256064,54,0
13,49.297509432,1000,1000,222,314,256944,92,0
14,49.397806168,1000,1000,170,274,233648,104,0
15,49.497978926,1000,1000,217,281,250352,64,0
16,49.597905874,1000,1000,217,267,226176,50,0
17,49.697580338,1000,1000,293,308,227696,15,0
18,49.797036648,1000,1000,306,333,208688,27,0
19,49.896531582,1000,1000,341,284,189024,-57,0
20,49.996775627,1000,1000,369,307,169680,-62,0
21,50.097497463,1000,1000,382,286,133712,-96,0
22,50.198122501,1000,1000,398,277,130688,-121,0
23,50.298561811,1000,1000,426,295,145472,-131,0
24,50.398726463,1000,1000,430,288,148784,-142,0
25,50.498614311,1000,1000,471,292,161072,-179,0
26,50.598130941,1000,1000,464,319,164816,-145,0
27,50.697379589,1000,1000,457,307,172768,-150,0
28,50.79656744,1000,1000,470,303,178352,-167,0
29,50.89588356,1000,1000,484,314,188816,-170,0
30,50.995526791,1000,1000,503,320,193904,-183,0
31,51.095444679,1000,1000,492,319,204720,-173,0
32,51.195537567,1000,1000,522,300,209616,-222,0
33,51.295631409,1000,1000,541,320,219456,-221,0
34,51.395791054,1000,1000,561,333,225568,-228,0
35,51.495971441,1000,1000,537,288,237488,-249,0
36,51.596059561,1000,1000,505,281,245072,-224,0
37,51.696075678,1000,1000,521,288,259840,-233,0
38,51.796038151,1000,1000,531,278,256512,-253,0
39,51.895897865,1000,1000,533,296,246432,-237,0
40,51.995674849,1000,1000,540,304,241808,-236,0
41,52.095551252,1000,1000,519,306,235120,-213,0
42,52.19541955,1000,1000,514,289,234992,-225,0
43,52.295188904,1000,1000,511,278,246768,-233,0
44,52.394896269,1000,1000,497,290,254304,-207,0
45,52.494737148,1000,1000,484,269,243856,-215,0
46,52.594790697,1000,1000,463,248,240800,-215,0
47,52.694966078,1000,1000,420,211,242032,-209,0
48,52.795270681,1000,1000,410,229,242224,-181,0
49,52.895506382,1000,1000,447,257,240608,-190,0
50,52.995481253,1000,1000,477,311,238080,-166,0
51,53.095154524,1000,1000,426,334,244688,-92,0
52,53.194663525,1000,1000,394,313,257600,-81,0
53,53.294150829,1000,1000,382,344,288864,-38,0
54,53.393703938,1000,1000,352,345,299344,-7,0
55,53.493365049,1000,1000,347,348,307952,1,0
56,53.593119144,1000,1000,334,351,317568,17,0
57,53.692951441,1000,1000,326,330,322800,4,0
58,53.79287529,1000,1000,328,343,326288,15,0
59,53.892828941,1000,1000,283,344,342992,61,0
