audit_sample_id,p203_index_row_id,row_source,row_role,sample_id,observation_id,source,session_id,frame_index,tracklet_id,physical_key,path_count,paths_existing,paths_readable,row_dimensions,row_dimensions_consistent,segmentation_nontrivial_count,depth_nonzero_pixel_count,issue_level,issue_codes,warning_codes
p204_001,p203_00001,p193,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_003,2022-06-15__Hallway_Full_CCW::000007::rack_forklift_003,6,6,6,1280x720,True,4,326896,WARN,,duplicate_sample_id;duplicate_session_frame
p204_002,p203_00004,p193,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_006,2022-06-23__Hallway_Straight_CCW::000007::warehouse_rack_006,6,6,6,1280x720,True,4,326202,OK,,
p204_003,p203_00063,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_001,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_001,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_001,2022-06-15__Aisle_CW_Run_1::000007::barrier_001,6,6,6,1280x720,True,4,464205,WARN,,duplicate_session_frame
p204_004,p203_00064,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_003,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_003,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_003,2022-06-23__Aisle_CW_Run_1::000007::barrier_003,6,6,6,1280x720,True,4,333913,WARN,,duplicate_session_frame
p204_005,p203_00065,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_002,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_002,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_002,2022-06-23__Aisle_CW_Run_1::000007::barrier_002,6,6,6,1280x720,True,4,333913,WARN,,duplicate_sample_id;duplicate_session_frame
p204_006,p203_00066,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_003,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_003,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_003,2022-06-15__Aisle_CW_Run_1::000007::barrier_003,6,6,6,1280x720,True,4,464205,WARN,,duplicate_sample_id;duplicate_session_frame
p204_007,p203_00067,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_006,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_006,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_006,2022-06-15__Aisle_CW_Run_2::000007::work_table_006,6,6,6,1280x720,True,4,449233,WARN,,duplicate_session_frame
p204_008,p203_00073,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_001,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_001,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_001,2022-06-15__Aisle_CW_Run_2::000007::barrier_001,6,6,6,1280x720,True,4,449233,WARN,,duplicate_session_frame
p204_009,p203_00075,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_003,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_003,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_003,2022-06-23__Aisle_CW_Run_2::000007::barrier_003,6,6,6,1280x720,True,4,326615,WARN,,duplicate_session_frame
p204_010,p203_00081,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_004,2022-06-15__Aisle_CW_Run_2::000007::barrier_004,6,6,6,1280x720,True,4,449233,WARN,,duplicate_sample_id;duplicate_session_frame
p204_011,p203_00088,p193,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_001,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_001,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_001,2022-06-23__Aisle_CW_Run_2::000007::barrier_001,6,6,6,1280x720,True,4,326615,WARN,,duplicate_session_frame
p204_012,p203_00093,p193,observation,same_day:obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2_000007_003,obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2_000007_003,same_day,torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2,7,trk_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_2_003,2022-06-15__Aisle_CCW_Run_2::000007::barrier_003,6,6,6,1280x720,True,4,455565,OK,,
