protocol,cluster_id,canonical_label,support_count,session_count,frame_count,dynamic_ratio,label_purity,reject_reasons
Same-day Aisle,cluster_0001,barrier,32,4,32,0.000,1.000,
Same-day Aisle,cluster_0002,barrier,32,4,32,0.000,1.000,
Same-day Aisle,cluster_0005,work table,34,3,34,0.000,0.912,
Same-day Aisle,cluster_0003,barrier,24,3,24,0.000,1.000,
Same-day Aisle,cluster_0006,warehouse rack,9,2,9,0.000,0.889,
Cross-day Aisle,cluster_0005,work table,51,4,51,0.000,0.941,
Cross-day Aisle,cluster_0001,barrier,32,4,32,0.000,1.000,
Cross-day Aisle,cluster_0002,barrier,32,4,32,0.000,1.000,
Cross-day Aisle,cluster_0006,warehouse rack,29,4,29,0.000,0.828,
Cross-day Aisle,cluster_0008,warehouse rack,19,2,19,0.000,0.895,
Cross-month Aisle,cluster_0005,work table,60,5,60,0.000,0.950,
Cross-month Aisle,cluster_0001,barrier,32,4,32,0.000,1.000,
Cross-month Aisle,cluster_0002,barrier,32,4,32,0.000,1.000,
Cross-month Aisle,cluster_0006,warehouse rack,29,4,29,0.000,0.828,
Cross-month Aisle,cluster_0008,warehouse rack,20,3,20,0.000,0.850,
Cross-month Aisle,cluster_0013,work table,9,2,9,0.000,1.000,
Cross-month Aisle,cluster_0014,barrier,7,2,7,0.000,1.000,
Hallway broader validation,cluster_0001,barrier,61,9,61,0.000,1.000,
Hallway broader validation,cluster_0007,work table,65,7,65,0.000,0.938,
Hallway broader validation,cluster_0012,barrier,50,6,50,0.000,1.000,
Hallway broader validation,cluster_0005,warehouse rack,52,5,52,0.000,0.846,
Hallway broader validation,cluster_0009,work table,34,3,34,0.000,0.941,
Hallway broader validation,cluster_0013,work table,16,3,16,0.000,0.812,
Hallway broader validation,cluster_0006,barrier,16,2,16,0.000,1.000,
Hallway broader validation,cluster_0015,barrier,16,2,16,0.000,1.000,
Hallway broader validation,cluster_0008,work table,11,2,11,0.000,1.000,
