p199_sample_id,p193_sample_id,source,split,cluster_id,canonical_label,resolved_label,observation_id,session_id,frame_id,frame_index,tracklet_id,physical_key,semantic_stability_target,semantic_static_like,semantic_target_status,semantic_target_source,semantic_categories,semantic_hint,semantic_evidence_status,source_semantic_path,label_source,mean_center_x,mean_center_y,mean_size_x,mean_size_y,support_count,mask_area_px,bbox_width,bbox_height,semantic_gate_score,observation_index_path
p199_semantic_00001,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,hallway,test,cluster_0010,forklift,forklift,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_003,2022-06-15__Hallway_Full_CCW::000007::rack_forklift_003,dynamic_or_non_static_like,0,non_ambiguous,p197_semantic_hint_categories,fork_truck,dynamic_or_non_static_like,matched_torwic_segmentation,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW.zip::Hallway_Full_CCW/segmentation_color_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW.zip::Hallway_Full_CCW/segmentation_greyscale_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW.zip::Hallway_Full_CCW/segmentation_color_right/000007.png;data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CCW.zip::Hallway_Full_CCW/segmentation_greyscale_right/000007.png",p199_auxiliary_semantic_category_static_dynamic_not_admission,1038.546783625731,324.7928932500743,225.0,122.0,20178.0,20178.0,225.0,122.0,0.34790676832199097,outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW/observation_output/observations_index.json
p199_semantic_00002,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007_005,hallway,test,cluster_0016,forklift,forklift,obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007_005,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_005,2022-10-12__Hallway_Straight_CCW::000007::forklift_005,dynamic_or_non_static_like,0,non_ambiguous,canonical_label_to_p197_ontology_mapping,fork_truck,,,,p199_auxiliary_semantic_category_static_dynamic_not_admission,849.5268829891838,244.63736479842674,245.0,266.0,25425.0,25425.0,245.0,266.0,0.2550961673259735,outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW/observation_output/observations_index.json
p199_semantic_00003,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_003,hallway,test,cluster_0013,work table,work table,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_003,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_003,2022-06-15__Hallway_Full_CW::000007::work_table_003,static_like,1,non_ambiguous,p197_semantic_hint_categories,misc_static_feature;fixed_machinery,static_like,matched_torwic_segmentation,"data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_color_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_greyscale_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_color_right/000007.png;data/TorWIC_SLAM_Dataset/Jun. 15, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_greyscale_right/000007.png",p199_auxiliary_semantic_category_static_dynamic_not_admission,82.65179731485492,348.3759203118233,68.0,42.0,2309.0,2309.0,68.0,42.0,0.3813738524913788,outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW/observation_output/observations_index.json
p199_semantic_00004,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,hallway,test,cluster_0004,warehouse rack,warehouse rack,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_006,2022-06-23__Hallway_Straight_CCW::000007::warehouse_rack_006,static_like,1,non_ambiguous,p197_semantic_hint_categories,rack_shelf,static_like,matched_torwic_segmentation,"data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW.zip::Hallway_Straight_CCW/segmentation_color_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW.zip::Hallway_Straight_CCW/segmentation_greyscale_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW.zip::Hallway_Straight_CCW/segmentation_color_right/000007.png;data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Straight_CCW.zip::Hallway_Straight_CCW/segmentation_greyscale_right/000007.png",p199_auxiliary_semantic_category_static_dynamic_not_admission,652.3812755997659,342.462960795787,121.0,82.0,8545.0,8545.0,121.0,82.0,0.3007708191871643,outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/observation_output/observations_index.json
p199_semantic_00005,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_003,hallway,test,cluster_0011,forklift,forklift,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_003,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001,1,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_003,2022-06-15__Hallway_Straight_CCW::000001::forklift_003,dynamic_or_non_static_like,0,non_ambiguous,canonical_label_to_p197_ontology_mapping,fork_truck,,,,p199_auxiliary_semantic_category_static_dynamic_not_admission,642.221401835615,338.11157257857764,240.0,109.0,19503.0,19503.0,240.0,109.0,0.4873977303504944,outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW/observation_output/observations_index.json
p199_semantic_00006,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,hallway,test,cluster_0004,warehouse rack,warehouse rack,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_006,2022-06-23__Hallway_Full_CW::000007::warehouse_rack_006,static_like,1,non_ambiguous,p197_semantic_hint_categories,rack_shelf,static_like,matched_torwic_segmentation,"data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_color_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_greyscale_left/000007.png;data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_color_right/000007.png;data/TorWIC_SLAM_Dataset/Jun. 23, 2022/Hallway_Full_CW.zip::Hallway_Full_CW/segmentation_greyscale_right/000007.png",p199_auxiliary_semantic_category_static_dynamic_not_admission,643.7911392405064,343.1127373417722,112.0,78.0,7584.0,7584.0,112.0,78.0,0.31414633989334106,outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/observation_output/observations_index.json
p199_semantic_00007,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_006,hallway,test,cluster_0004,warehouse rack,warehouse rack,obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_006,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_006,2022-10-12__Hallway_Full_CW_Run_2::000007::warehouse_rack_006,static_like,1,non_ambiguous,p197_semantic_hint_categories,rack_shelf,static_like,matched_torwic_segmentation,"data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2.zip::Hallway_Full_CW_Run_2/segmentation_color_left/000007.png;data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2.zip::Hallway_Full_CW_Run_2/segmentation_greyscale_left/000007.png;data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2.zip::Hallway_Full_CW_Run_2/segmentation_color_right/000007.png;data/TorWIC_SLAM_Dataset/Oct. 12, 2022/Hallway_Full_CW_Run_2.zip::Hallway_Full_CW_Run_2/segmentation_greyscale_right/000007.png",p199_auxiliary_semantic_category_static_dynamic_not_admission,643.7911392405064,343.1127373417722,112.0,78.0,7584.0,7584.0,112.0,78.0,0.31414633989334106,outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/observation_output/observations_index.json
p199_semantic_00008,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_004,hallway,test,cluster_0005,warehouse rack,warehouse rack,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_004,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_004,2022-06-23__Hallway_Straight_CCW::000007::warehouse_rack_004,static_like,1,non_ambiguous,canonical_label_to_p197_ontology_mapping,rack_shelf,,,,p199_auxiliary_semantic_category_static_dynamic_not_admission,934.9539170506912,333.44113451832345,350.0,119.0,36456.0,36456.0,350.0,119.0,0.38675200939178467,outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/observation_output/observations_index.json
p199_semantic_00009,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007_004,hallway,test,cluster_0015,barrier,barrier,obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007_004,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007,7,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_004,2022-10-12__Hallway_Straight_CCW::000007::barrier_004,ambiguous_static_and_dynamic,,ambiguous,canonical_label_to_p197_ontology_mapping,misc_static_feature;pylon_cone,,,,p199_auxiliary_semantic_category_static_dynamic_not_admission,592.4441624365483,379.18369289340103,217.0,23.0,3152.0,3152.0,217.0,23.0,0.2931973338127136,outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW/observation_output/observations_index.json
p199_semantic_00010,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_002,hallway,test,cluster_0001,barrier,barrier,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_002,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001,1,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_002,2022-06-15__Hallway_Straight_CCW::000001::barrier_002,ambiguous_static_and_dynamic,,ambiguous,canonical_label_to_p197_ontology_mapping,misc_static_feature;pylon_cone,,,,p199_auxiliary_semantic_category_static_dynamic_not_admission,249.5638313868979,479.7803117638214,172.0,131.0,19951.0,19951.0,172.0,131.0,0.4132657051086426,outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW/observation_output/observations_index.json
